 J105443; 1; Z060; Pink Small; 7; 44;; Unknown (R01); Unknown (C311)
 J145406; 1; J244; Orange; 8; 55;; Unknown (R01); Unknown (C315)
 J103404; 1; J244; Yellow Small; 9; 41; Wolf-Rayet Star; Unknown (R01); Unknown (C315)
 J112124; 1; J244; Yellow Small; 7; 27;; Unknown (R01); Unknown (C315)
 J124926; 1; J244; Orange Bright; 9; 59; Cataclysmic Variable; Unknown (R01); Unknown (C316)
 J232605; 1; J244; Pink; 4; 57;; Unknown (R01); Unknown (C316)
 J144938; 1; J244; Yellow; 9; 49;; Unknown (R01); Unknown (C316)
 J233828; 1; J244; Orange radiant; 6; 42;; Unknown (R01); Unknown (C316)
 J130714; 1; J244; Yellow Small; 9; 48; Black Hole; Unknown (R01); Unknown (C316)
 J142701; 1; J244; Orange; 8; 42;; Unknown (R01); Unknown (C316)
 J154226; 1; J244; Orange radiant; 11; 47;; Unknown (R01); Unknown (C316)
 J125843; 1; J244; Pink; 4; 4;; Unknown (R01); Unknown (C316)
 J155459; 1; J244; Pink; 8; 61;; Unknown (R01); Unknown (C316)
 J225555; 1; J244; Pink Small; 5; 27; Magnetar; Unknown (R01); Unknown (C317)
 J115549; 1; J244; Orange radiant; 7; 49;; Unknown (R01); Unknown (C317)
 J140741; 1; J244; Orange radiant; 8; 78; Black Hole; Unknown (R01); Unknown (C317)
 J104140; 1; J244; Yellow; 9; 52;; Unknown (R01); Unknown (C317)
 J101757; 1; J244; Orange; 3; 23; Black Hole; Unknown (R01); Unknown (C317)
 J100250; 1; J244; Yellow; 13; 34;; Unknown (R01); Unknown (C317)
 J113721; 1; J244; Orange radiant; 12; 78;; Unknown (R01); Unknown (C317)
 J105039; 1; J244; Orange radiant; 8; 50; Pulsar; Unknown (R01); Unknown (C317)
 J233550; 1; J244; Orange radiant; 8; 55;; Unknown (R01); Unknown (C317)
 J114033; 1; J244; Orange; 8; 52; Wolf-Rayet Star; Unknown (R01); Unknown (C318)
 J105936; 1; J244; Pink; 8; 50; Red Giant; Unknown (R01); Unknown (C318)
 J140121; 1; J244; Red Giant; 12; 25; Magnetar; Unknown (R01); Unknown (C318)
 J154029; 1; J244; Pink; 10; 69;; Unknown (R01); Unknown (C318)
 J101336; 1; J244; Orange radiant; 8; 51; Cataclysmic Variable; Unknown (R01); Unknown (C318)
 J160039; 1; J244; Pink; 7; 57;; Unknown (R01); Unknown (C318)
 J161257; 1; J244; Orange; 8; 67; Red Giant; Unknown (R01); Unknown (C318)
 J144303; 1; J244; Pink Small; 11; 32;; Unknown (R01); Unknown (C318)
 J121131; 1; J244; Pink Small; 6; 7; Wolf-Rayet Star; Unknown (R01); Unknown (C318)
 J113653; 1; J244; Orange; 9; 29;; Unknown (R01); Unknown (C318)
 J123454; 1; J244; Orange Bright; 8; 9; Wolf-Rayet Star; Unknown (R01); Unknown (C318)
 J110750; 1; J244; Orange radiant; 8; 56;; Unknown (R01); Unknown (C318)
 J151106; 1; J244; White; 10; 59; Magnetar; Unknown (R01); Unknown (C319)
 J100040; 1; J244; Yellow Small; 7; 32; Black Hole; Unknown (R01); Unknown (C319)
 J223733; 1; J244; Orange Bright; 6; 44;; Unknown (R01); Unknown (C319)
 J110431; 1; J244; Pink; 10; 92; Cataclysmic Variable; Unknown (R01); Unknown (C319)
 J134446; 1; J244; Orange radiant; 8; 99;; Unknown (R01); Unknown (C319)
 J143202; 1; J244; Pink; 9; 13;; Unknown (R01); Unknown (C319)
 J210436; 1; J244; Pink; 12; 13;; Unknown (R01); Unknown (C319)
 J133030; 1; J244; Yellow; 11; 48; Cataclysmic Variable; Unknown (R01); Unknown (C319)
 J170645; 1; J244; Yellow; 10; 74;; Unknown (R01); Unknown (C319)
 J103151; 1; J244; Orange; 12; 68; Pulsar; Unknown (R01); Unknown (C320)
 J222206; 1; J244; Yellow Small; 8; 57;; Unknown (R01); Unknown (C320)
 J130602; 1; J244; Orange radiant; 11; 70;; Unknown (R01); Unknown (C320)
 J123708; 1; J244; Orange; 7; 31;; Unknown (R01); Unknown (C320)
 J123831; 1; J244; Orange radiant; 8; 90;; Unknown (R01); Unknown (C320)
 J164927; 1; J244; Pink Small; 8; 45;; Unknown (R01); Unknown (C320)
 J134143; 1; J244; Yellow Small; 7; 44;; Unknown (R01); Unknown (C320)
 J214534; 1; J244; Yellow Small; 6; 68;; Unknown (R01); Unknown (C320)
 J135250; 1; J244; Pink Small; 9; 49;; Unknown (R01); Unknown (C320)
 J111707; 1; J244; Orange; 10; 38;; Unknown (R01); Unknown (C320)
 J135245; 1; J244; Orange Bright; 8; 24;; Unknown (R01); Unknown (C320)
 J101408; 1; J244; Orange radiant; 11; 55;; Unknown (R01); Unknown (C320)
 J215117; 1; J244; Pink Small; 8; 60;; Unknown (R01); Unknown (C321)
 J141019; 1; J244; Yellow; 10; 46;; Unknown (R01); Unknown (C321)
 J102206; 1; J244; Orange radiant; 7; 57;; Unknown (R01); Unknown (C321)
 J125903; 1; J244; Red Giant; 6; 52;; Unknown (R01); Unknown (C321)
 J134939; 1; J244; Orange radiant; 6; 40;; Unknown (R01); Unknown (C321)
 J162641; 1; J244; Orange; 6; 31; Red Giant; Unknown (R01); Unknown (C321)
 J152537; 1; J244; Yellow Small; 11; 50; Black Hole; Unknown (R01); Unknown (C321)
 J224442; 1; J244; Yellow Small; 8; 7; Black Hole; Unknown (R01); Unknown (C321)
 J104138; 1; J244; White; 11; 30; Magnetar; Unknown (R01); Unknown (C321)
 J121516; 1; J244; Pink; 9; 12;; Unknown (R01); Unknown (C321)
 J114540; 1; J244; Pink Small; 9; 16;; Unknown (R01); Unknown (C321)
 J155013; 1; J244; Blue Bright; 12; 53;; Unknown (R01); Unknown (C321)
 J144450; 1; J244; Orange radiant; 4; 19;; Unknown (R01); Unknown (C322)
 J141239; 1; J244; Orange radiant; 10; 68;; Unknown (R01); Unknown (C322)
 J115545; 1; J244; Blue; 8; 50;; Unknown (R01); Unknown (C322)
 J114905; 1; J244; Yellow Small; 10; 33;; Unknown (R01); Unknown (C322)
 J120522; 1; J244; Orange; 7; 34;; Unknown (R01); Unknown (C322)
 J172907; 1; J244; Orange; 11; 58; Pulsar; Unknown (R01); Unknown (C322)
 J164550; 1; J244; Yellow; 13; 67; Magnetar; Unknown (R01); Unknown (C322)
 J141812; 1; J244; Pink Small; 7; 70;; Unknown (R01); Unknown (C322)
 J134637; 1; J244; Red Giant; 9; 30;; Unknown (R01); Unknown (C322)
 J134132; 1; J244; Yellow Small; 9; 84;; Unknown (R01); Unknown (C322)
 J125011; 1; J244; Pink Small; 6; 71;; Unknown (R01); Unknown (C322)
 J105942; 1; J244; Pink; 7; 50; Cataclysmic Variable; Unknown (R01); Unknown (C323)
 J171653; 1; J244; Red Giant; 11; 56;; Unknown (R01); Unknown (C323)
 J110213; 1; J244; Yellow Small; 6; 5;; Unknown (R01); Unknown (C323)
 J115048; 1; J244; Blue; 7; 31;; Unknown (R01); Unknown (C323)
 J174405; 1; J244; Orange radiant; 6; 54; Wolf-Rayet Star; Unknown (R01); Unknown (C323)
 J123111; 1; J244; Pink Small; 7; 69;; Unknown (R01); Unknown (C323)
 J123047; 1; J244; Yellow Small; 9; 45;; Unknown (R01); Unknown (C323)
 J231541; 1; J244; Red Giant; 9; 34;; Unknown (R01); Unknown (C323)
 J215900; 1; J244; Pink Small; 9; 68; Cataclysmic Variable; Unknown (R01); Unknown (C323)
 J110651; 1; J244; Pink; 8; 40;; Unknown (R01); Unknown (C323)
 J140602; 1; J244; Yellow; 6; 88;; Unknown (R01); Unknown (C323)
 J163804; 1; J244; Pink Small; 9; 48; Wolf-Rayet Star; Unknown (R01); Unknown (C323)
 J125209; 1; N110; Blue Small; 9; 78; Magnetar; Unknown (R02); Unknown (C001)
 J140831; 1; N110; Orange; 2; 17;; Unknown (R02); Unknown (C001)
 J161811; 1; N110; Red Giant; 8; 9;; Unknown (R02); Unknown (C001)
 J112913; 1; N110; Pink Small; 13; 32;; Unknown (R02); Unknown (C001)
 J105632; 1; N110; Yellow; 10; 41;; Unknown (R02); Unknown (C001)
 J160710; 1; N110; Orange Bright; 6; 31;; Unknown (R02); Unknown (C001)
 J160835; 1; N110; Pink Small; 9; 27;; Unknown (R02); Unknown (C001)
 J122659; 1; N110; Pink; 8; 16;; Unknown (R02); Unknown (C001)
 J130931; 1; N110; Orange radiant; 7; 55;; Unknown (R02); Unknown (C001)
 J161115; 1; N110; Orange; 8; 74;; Unknown (R02); Unknown (C001)
 J120734; 1; N110; White; 10; 46;; Unknown (R02); Unknown (C001)
 J110906; 1; N110; White Dwarf; 11; 12;; Unknown (R02); Unknown (C002)
 J121418; 1; N110; Orange radiant; 10; 67;; Unknown (R02); Unknown (C002)
 J113820; 1; N110; Yellow Small; 11; 45;; Unknown (R02); Unknown (C002)
 J113506; 1; N110; Orange Bright; 7; 19;; Unknown (R02); Unknown (C002)
 J172240; 1; N110; Orange radiant; 7; 28;; Unknown (R02); Unknown (C002)
 J110101; 1; N110; Orange; 7; 68;; Unknown (R02); Unknown (C002)
 J110108; 1; N110; Orange radiant; 8; 50;; Unknown (R02); Unknown (C002)
 J213555; 1; N110; Yellow Small; 9; 82; Black Hole; Unknown (R02); Unknown (C002)
 J144704; 1; N110; White Dwarf; 10; 75;; Unknown (R02); Unknown (C002)
 J115815; 1; N110; Orange radiant; 9; 67;; Unknown (R02); Unknown (C002)
 J133653; 1; N110; Orange Bright; 5; 10;; Unknown (R02); Unknown (C002)
 J171700; 1; N110; Orange Bright; 12; 48;; Unknown (R02); Unknown (C002)
 J104628; 1; N110; Blue Bright; 6; 22;; Unknown (R02); Unknown (C003)
 J114546; 1; N110; Orange radiant; 7; 38;; Unknown (R02); Unknown (C003)
 J235419; 1; N110; Yellow Small; 7; 7;; Unknown (R02); Unknown (C003)
 J204503; 1; N110; Pink; 10; 55; Magnetar; Unknown (R02); Unknown (C003)
 J215417; 1; N110; Pink Small; 7; 44;; Unknown (R02); Unknown (C003)
 J110545; 1; N110; Orange; 10; 35;; Unknown (R02); Unknown (C003)
 J153536; 1; N110; Yellow; 10; 24;; Unknown (R02); Unknown (C003)
 J150407; 1; N110; Blue Bright; 12; 64; Red Giant; Unknown (R02); Unknown (C003)
 J153530; 1; N110; Red Giant; 7; 36;; Unknown (R02); Unknown (C003)
 J131232; 1; N110; Yellow; 12; 72;; Unknown (R02); Unknown (C003)
 J101020; 1; N110; Yellow Small; 8; 50;; Unknown (R02); Unknown (C003)
 J133613; 1; N110; White Dwarf; 13; 53;; Unknown (R02); Unknown (C004)
 J165901; 1; N110; Orange Bright; 8; 44;; Unknown (R02); Unknown (C004)
 J152006; 1; N110; Yellow; 7; 58;; Unknown (R02); Unknown (C004)
 J160345; 1; N110; Orange; 8; 44;; Unknown (R02); Unknown (C004)
 J134330; 1; N110; Pink; 8; 14;; Unknown (R02); Unknown (C004)
 J213342; 1; N110; Red Giant; 10; 27;; Unknown (R02); Unknown (C004)
 J150745; 1; N110; Yellow; 9; 33;; Unknown (R02); Unknown (C004)
 J165056; 1; N110; Red Giant; 10; 26;; Unknown (R02); Unknown (C004)
 J150827; 1; N110; Orange Bright; 12; 20;; Unknown (R02); Unknown (C004)
 J144632; 1; N110; Blue; 9; 36;; Unknown (R02); Unknown (C004)
 J102630; 1; N110; Yellow Small; 11; 42;; Unknown (R02); Unknown (C004)
 J133335; 1; N110; Pink; 8; 14;; Unknown (R02); Unknown (C004)
 J125925; 1; N110; Orange radiant; 8; 36;; Unknown (R02); Unknown (C005)
 J142617; 1; N110; Orange; 8; 52;; Unknown (R02); Unknown (C005)
 J150818; 1; N110; Blue Bright; 8; 42; Pulsar; Unknown (R02); Unknown (C005)
 J114420; 1; N110; Yellow Small; 6; 7;; Unknown (R02); Unknown (C005)
 J112250; 1; N110; Pink Small; 9; 40;; Unknown (R02); Unknown (C005)
 J155935; 1; N110; Blue Small; 10; 39;; Unknown (R02); Unknown (C005)
 J115738; 1; N110; Yellow; 10; 61; Pulsar; Unknown (R02); Unknown (C005)
 J232715; 1; N110; Pink Small; 11; 56;; Unknown (R02); Unknown (C005)
 J110051; 1; N110; Orange radiant; 6; 82;; Unknown (R02); Unknown (C005)
 J152928; 1; N110; Orange; 8; 54;; Unknown (R02); Unknown (C006)
 J132216; 1; N110; Orange radiant; 12; 57;; Unknown (R02); Unknown (C006)
 J132758; 1; N110; Orange; 10; 28; Cataclysmic Variable; Unknown (R02); Unknown (C006)
 J134145; 1; N110; Orange radiant; 9; 83; Pulsar; Unknown (R02); Unknown (C006)
 J102849; 1; N110; Orange radiant; 11; 41;; Unknown (R02); Unknown (C006)
 J120335; 1; N110; Yellow; 9; 80;; Unknown (R02); Unknown (C006)
 J104439; 1; N110; Pink Small; 7; 68; Wolf-Rayet Star; Unknown (R02); Unknown (C006)
 J122717; 1; N110; Orange Bright; 7; 5;; Unknown (R02); Unknown (C006)
 J101817; 1; N110; Blue Small; 5; 7;; Unknown (R02); Unknown (C006)
 J131551; 1; N110; Orange radiant; 8; 52; Black Hole; Unknown (R02); Unknown (C006)
 J115200; 1; N110; Orange; 11; 108;; Unknown (R02); Unknown (C007)
 J155029; 1; N110; Orange radiant; 10; 39; Black Hole; Unknown (R02); Unknown (C007)
 J223703; 1; N110; Pink Small; 7; 69;; Unknown (R02); Unknown (C007)
 J233359; 1; N110; Yellow Small; 8; 61;; Unknown (R02); Unknown (C007)
 J114107; 1; N110; Yellow; 12; 69;; Unknown (R02); Unknown (C007)
 J152014; 1; N110; Pink Small; 8; 7;; Unknown (R02); Unknown (C007)
 J100211; 1; N110; Orange radiant; 6; 49;; Unknown (R02); Unknown (C007)
 J104103; 1; N110; Pink Small; 8; 29;; Unknown (R02); Unknown (C007)
 J171019; 1; N110; Orange radiant; 13; 57; Cataclysmic Variable; Unknown (R02); Unknown (C007)
 J114313; 1; N110; Orange radiant; 11; 54;; Unknown (R02); Unknown (C007)
 J130542; 1; N110; White; 11; 46;; Unknown (R02); Unknown (C008)
 J114719; 1; N110; Pink Small; 10; 16;; Unknown (R02); Unknown (C008)
 J130322; 1; N110; Blue; 8; 45;; Unknown (R02); Unknown (C008)
 J161524; 1; N110; Yellow; 3; 8; Pulsar; Unknown (R02); Unknown (C008)
 J162858; 1; N110; Orange; 7; 43;; Unknown (R02); Unknown (C008)
 J121158; 1; N110; White Dwarf; 7; 27; Black Hole; Unknown (R02); Unknown (C008)
 J113050; 1; N110; Blue; 6; 45;; Unknown (R02); Unknown (C008)
 J141514; 1; N110; White Dwarf; 9; 76;; Unknown (R02); Unknown (C008)
 J220654; 1; N110; Pink; 8; 41;; Unknown (R02); Unknown (C008)
 J162118; 1; N110; Orange; 12; 54; Cataclysmic Variable; Unknown (R02); Unknown (C008)
 J231004; 1; N110; Orange radiant; 8; 56; Cataclysmic Variable; Unknown (R02); Unknown (C008)
 J120621; 1; N110; Orange radiant; 5; 37;; Unknown (R02); Unknown (C008)
 J151601; 1; N110; Pink; 12; 62;; Unknown (R02); Unknown (C009)
 J105837; 1; N110; Yellow Small; 14; 36;; Unknown (R02); Unknown (C009)
 J143133; 1; N110; Orange radiant; 7; 73;; Unknown (R02); Unknown (C009)
 J100422; 1; N110; Pink; 4; 34; Red Giant; Unknown (R02); Unknown (C009)
 J104335; 1; N110; Orange; 12; 68; Wolf-Rayet Star; Unknown (R02); Unknown (C009)
 J105700; 1; N110; Yellow Small; 8; 41;; Unknown (R02); Unknown (C009)
 J215431; 1; N110; Yellow; 8; 60;; Unknown (R02); Unknown (C009)
 J143628; 1; N110; Yellow Small; 4; 20;; Unknown (R02); Unknown (C009)
 J141150; 1; N110; Orange radiant; 9; 67;; Unknown (R02); Unknown (C009)
 J163743; 1; N110; Orange Bright; 6; 6;; Unknown (R02); Unknown (C009)
 J161509; 1; N110; Pink; 9; 62;; Unknown (R02); Unknown (C009)
 J150629; 1; N110; Yellow; 6; 39;; Unknown (R02); Unknown (C009)
 J141017; 1; N110; Pink Small; 8; 20;; Unknown (R02); Unknown (C010)
 J130045; 1; N110; Red Giant; 10; 28;; Unknown (R02); Unknown (C010)
 J123748; 1; N110; Orange; 5; 50;; Unknown (R02); Unknown (C010)
 J124051; 1; N110; Pink; 10; 26;; Unknown (R02); Unknown (C010)
 J151141; 1; N110; Yellow Small; 13; 42;; Unknown (R02); Unknown (C010)
 J112129; 1; N110; Yellow; 9; 14;; Unknown (R02); Unknown (C010)
 J213653; 1; N110; Orange; 11; 50;; Unknown (R02); Unknown (C010)
 J143649; 1; N110; Red Giant; 7; 27;; Unknown (R02); Unknown (C010)
 J223855; 1; N110; Yellow Small; 7; 26; Red Giant; Unknown (R02); Unknown (C010)
 J140019; 1; N110; Orange radiant; 7; 27; Black Hole; Unknown (R02); Unknown (C010)
 J110605; 1; N110; Yellow; 9; 48;; Unknown (R02); Unknown (C010)
 J122843; 1; N110; Orange radiant; 6; 46; Pulsar; Unknown (R02); Unknown (C010)
 J205004; 1; N110; Orange radiant; 9; 76;; Unknown (R02); Unknown (C011)
 J122114; 1; N110; Yellow Small; 9; 17;; Unknown (R02); Unknown (C011)
 J163533; 1; N110; Red Giant; 10; 50; Pulsar; Unknown (R02); Unknown (C011)
 J151518; 1; N110; Blue; 8; 25;; Unknown (R02); Unknown (C011)
 J122712; 1; N110; Orange radiant; 10; 29;; Unknown (R02); Unknown (C011)
 J143002; 1; N110; Orange radiant; 9; 35; Black Hole; Unknown (R02); Unknown (C011)
 J160307; 1; N110; Orange radiant; 10; 47; Red Giant; Unknown (R02); Unknown (C011)
 J213932; 1; N110; Yellow; 9; 42;; Unknown (R02); Unknown (C011)
 J102414; 1; N110; Orange Bright; 11; 16;; Unknown (R02); Unknown (C011)
 J170949; 1; N110; Yellow Small; 5; 4;; Unknown (R02); Unknown (C011)
 J235001; 1; N110; Yellow Small; 14; 66;; Unknown (R02); Unknown (C012)
 J103320; 1; N110; Yellow Small; 11; 97;; Unknown (R02); Unknown (C012)
 J141038; 1; N110; Orange radiant; 9; 83; Wolf-Rayet Star; Unknown (R02); Unknown (C012)
 J172003; 1; N110; Red Giant; 8; 44;; Unknown (R02); Unknown (C012)
 J124215; 1; N110; Yellow Small; 9; 50; Magnetar; Unknown (R02); Unknown (C012)
 J215754; 1; N110; Red Giant; 8; 13; Red Giant; Unknown (R02); Unknown (C012)
 J102837; 1; N110; Orange Bright; 10; 71; Cataclysmic Variable; Unknown (R02); Unknown (C012)
 J130155; 1; N110; Orange radiant; 8; 62;; Unknown (R02); Unknown (C012)
 J170544; 1; N110; Pink Small; 8; 75;; Unknown (R02); Unknown (C012)
 J142649; 1; N110; Pink; 7; 54;; Unknown (R02); Unknown (C012)
 J150539; 1; N110; Blue Small; 8; 50; Black Hole; Unknown (R02); Unknown (C013)
 J163156; 1; N110; Yellow; 11; 63;; Unknown (R02); Unknown (C013)
 J120338; 1; N110; Yellow; 6; 5; Wolf-Rayet Star; Unknown (R02); Unknown (C013)
 J142941; 1; N110; Orange; 9; 25; Magnetar; Unknown (R02); Unknown (C013)
 J110126; 1; N110; Orange radiant; 7; 31;; Unknown (R02); Unknown (C013)
 J155504; 1; N110; Yellow Small; 7; 24;; Unknown (R02); Unknown (C013)
 J144228; 1; N110; Yellow Small; 6; 91; Red Giant; Unknown (R02); Unknown (C013)
 J223650; 1; N110; Pink; 8; 27;; Unknown (R02); Unknown (C013)
 J102734; 1; N110; Blue Bright; 9; 13;; Unknown (R02); Unknown (C013)
 J105232; 1; N110; Yellow; 5; 5;; Unknown (R02); Unknown (C013)
 J133128; 1; N110; Blue; 6; 47;; Unknown (R02); Unknown (C013)
 J140135; 1; N110; Yellow; 11; 37; Pulsar; Unknown (R02); Unknown (C014)
 J115216; 1; N110; Red Giant; 9; 35;; Unknown (R02); Unknown (C014)
 J153311; 1; N110; Orange radiant; 9; 65;; Unknown (R02); Unknown (C014)
 J164756; 1; N110; Red Giant; 10; 29;; Unknown (R02); Unknown (C014)
 J165216; 1; N110; Orange radiant; 10; 79; Red Giant; Unknown (R02); Unknown (C014)
 J114914; 1; N110; White Dwarf; 10; 14; Cataclysmic Variable; Unknown (R02); Unknown (C014)
 J212504; 1; N110; White; 11; 73; Wolf-Rayet Star; Unknown (R02); Unknown (C014)
 J120256; 1; N110; Blue Small; 7; 77;; Unknown (R02); Unknown (C014)
 J143421; 1; N110; Yellow Small; 6; 48;; Unknown (R02); Unknown (C014)
 J223026; 1; N110; Red Giant; 9; 24;; Unknown (R02); Unknown (C014)
 J102918; 1; N110; Yellow Small; 6; 11;; Unknown (R02); Unknown (C014)
 J142136; 1; N110; White Dwarf; 7; 32;; Unknown (R03); Unknown (C015)
 J134540; 1; N110; Orange radiant; 9; 40;; Unknown (R03); Unknown (C015)
 J124451; 1; N110; Yellow Small; 10; 81;; Unknown (R03); Unknown (C015)
 J102749; 1; N110; Pink Small; 7; 52;; Unknown (R03); Unknown (C015)
 J165741; 1; N110; Yellow; 9; 15; Cataclysmic Variable; Unknown (R03); Unknown (C015)
 J142119; 1; N110; Orange radiant; 8; 76;; Unknown (R03); Unknown (C015)
 J105642; 1; N110; White; 9; 62;; Unknown (R03); Unknown (C015)
 J154354; 1; N110; White Dwarf; 4; 22; Magnetar; Unknown (R03); Unknown (C015)
 J102005; 1; N110; Yellow Small; 7; 72;; Unknown (R03); Unknown (C015)
 J133052; 1; N110; Yellow; 7; 33;; Unknown (R03); Unknown (C015)
 J103341; 1; N110; Yellow Small; 9; 54;; Unknown (R03); Unknown (C015)
 J142114; 1; N110; Orange radiant; 7; 52;; Unknown (R03); Unknown (C015)
 J152353; 1; N110; Red Giant; 7; 36;; Unknown (R03); Unknown (C016)
 J120431; 1; N110; Yellow; 10; 39;; Unknown (R03); Unknown (C016)
 J103547; 1; N110; Blue Bright; 6; 7;; Unknown (R03); Unknown (C016)
 J161107; 1; N110; Yellow Small; 6; 20;; Unknown (R03); Unknown (C016)
 J160334; 1; N110; Orange; 5; 43; Black Hole; Unknown (R03); Unknown (C016)
 J101845; 1; N110; Yellow; 9; 59;; Unknown (R03); Unknown (C016)
 J171805; 1; N110; Yellow Small; 7; 6; Red Giant; Unknown (R03); Unknown (C016)
 J134610; 1; N110; Red Giant; 9; 53; Wolf-Rayet Star; Unknown (R03); Unknown (C016)
 J173842; 1; N110; Yellow Small; 9; 16;; Unknown (R03); Unknown (C016)
 J155203; 1; N110; Yellow Small; 8; 43; Wolf-Rayet Star; Unknown (R03); Unknown (C017)
 J121935; 1; N110; Orange radiant; 8; 64;; Unknown (R03); Unknown (C017)
 J105013; 1; N110; Orange; 1; 19; Cataclysmic Variable; Unknown (R03); Unknown (C017)
 J161846; 1; N110; Yellow; 8; 50;; Unknown (R03); Unknown (C017)
 J113632; 1; N110; Red Giant; 9; 25; Magnetar; Unknown (R03); Unknown (C017)
 J170106; 1; N110; Orange; 10; 38;; Unknown (R03); Unknown (C017)
 J123828; 1; N110; Pink; 5; 6;; Unknown (R03); Unknown (C017)
 J172147; 1; N110; Pink Small; 11; 58;; Unknown (R03); Unknown (C017)
 J164759; 1; N110; Orange; 5; 37;; Unknown (R03); Unknown (C017)
 J212957; 1; N110; Red Giant; 9; 35;; Unknown (R03); Unknown (C018)
 J212338; 1; N110; Blue; 10; 58;; Unknown (R03); Unknown (C018)
 J115823; 1; N110; Yellow Small; 11; 45;; Unknown (R03); Unknown (C018)
 J112744; 1; N110; Orange radiant; 8; 46;; Unknown (R03); Unknown (C018)
 J121941; 1; N110; Orange Bright; 8; 53;; Unknown (R03); Unknown (C018)
 J125650; 1; N110; Orange; 7; 33;; Unknown (R03); Unknown (C018)
 J161344; 1; N110; Pink; 9; 43; Black Hole; Unknown (R03); Unknown (C018)
 J134833; 1; N110; Orange Bright; 7; 26;; Unknown (R03); Unknown (C018)
 J143517; 1; N110; Pink; 9; 67; Black Hole; Unknown (R03); Unknown (C018)
 J133245; 1; N110; Orange; 7; 36; Red Giant; Unknown (R03); Unknown (C018)
